"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"254","TNRERA/20/BLG/0254/2026                                 dated 31-07-2026","VISVAS PROMOTERS PRIVATE LIMITED, Door No.VASUDHARA ENCLAVE No. 84, TPK ROAD, ANDALPURAM, Madurai, Tamil Nadu-625003.","Project Name: VIBHAVA - J & K BLOCKSRegistration for  Block -1 with Stilt Floor + 5 Floors with 20 Dwelling Units &  Block -2 with Stilt Floor + 5 Floors with 60 Dwelling Units  ( Totally 80 Dwelling Units) at Ward No.XXIII - Block No. 26, comprised in T.S. Nos. 16/6A, 17/3A & 17/3B, (Old R.S. Nos. 177pt & 179/6Apt,  Amalgamation of Plot Nos. A3 & A4 in the existing regularized layout LP/MDTCP/No.276(R)/2018 and additional piece of land at T.S. No.17/3A) of Ponmeni Village, Madurai West Taluk, Madurai District.","The Assistant Director, T&CP, issued Planning Permission No.191/2026 in Application No. SWP/BPA/0777783/2026, Dated 06/04/2026. The Assistant Executive Engineer (Planning), Madurai Corporation, issued Building Permission in Letter No.115/BL/2026/00198, Dated 25/06/2026.","31.03.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-9.922201;Longitude-78.080275;","",""
"255","TNRERA/29/BLG/0255/2026                                 dated 31-07-2026","R.K.ESTATES (GPA), Door No.NO.9/53, 5TH MAIN ROAD, NATESAN NAGAR, VIRUGAMBAKKAM, Chennai, Tamil Nadu-600092.","Project Name: MARUTHAM AVANA BLOCK - ARegistration of Stilt Floor + 3 Floors Residential Building with 15 dwelling units at Plot No: A, St. Mary’s Street, Athipattu, Chennai comprised in Old S. No:520/4 and T.S. No:25/ 2 Part, Block No: 4, Ward No: G of Athipattu village, Chennai District.","CMDA issued Planning permission No. OL-PP/NHRB/0229/2026 in Letter No. CMDA/PP/NHRB/N/0116/2026 dated 08-06-2026. Greater Chennai Corporation issued Building permission in Letter No. CEBA/WDCN07/00243/2026 dated 29/06/2026.","30.09.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.094918;Longitude-80.150643;","",""
"256","TNRERA/35/BLG/0256/2026                                 dated 31-07-2026","M/s.MEERA HOMES Rep By its Proprietor K.SIVA KUMAR, Plot No.10, Ganesh Avenue,Velachery Main Road, Pallikaranai Village , Taluk.Sholinganallur, Chennai, Tamil Nadu-600100.","Project Name: MEERA’S  LANDMARKRegistration for Stilt Floor + 5 Floors Residential building with 69 dwelling units at Plot No.20 (passage), Ottiyambakkam Main Road, Nagalakshmi Nagar Extension, Sithalapakkam comprised in S.No.39/2A, 39/3A, 39/C, 39/4A, 39/4D & 39/4J (document), S.No. 39/4A1B & 39/10B (patta) of Sithalapakkam Village, Tambaram Taluk, Chengalpattu District.","CMDA issued Planning Permission No.OL-PP/NHRB/0228/2026 in Letter No.CMDA/PP/NHRB/S/1004/2025 dated 05/06/2026. The President, Sithalapakkam Village Panchayat issued Building Permission in Letter Roc No.5 dated 29/06/2026.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.879367;Longitude-80.192402;","",""
"257","TNRERA/16/BLG/0257/2026                                 dated 31-07-2026","M/s. SHREE VEEJAY PROPERTY DEVELOPERS PVT. LTD. Represented by its Managing Director Mr. S. KARTHIKEYAN, Door No.43, Nehru 2nd Street, Edamalaipatti Pudur, Edamalaipatti Pudur Village , Tiruchirappalli - 620012, Tiruchirappalli, Tamil Nadu-","Project Name: SHREE VEEJAY’S SUN SHINERegistration for Stilt Floor + 5 Floors residential building with 20 dwelling units at affordable housing after demolishing the existing building comprised in T.S.No. 49/1,49/2, Ward AK, Block:5, at Crawford Colony Main Road, Crawford Colony,K Abhishekapuram Village, Tiruchirappalli District.","The Joint Director, T&CP, Tiruchirappalli District issued planning permission no. 174/2025 in lr no. SWP/BPA/685779/2025 dated 02.12.2025. The Assistant Commissioner, Tiruchirappalli Corporation issued building license no. 086/BL/2026/00029 in Lr BA no. 086/BPA/2025/00637 dated 06.02.2026.","05.02.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.782281;Longitude-78.677867;","",""
"258","TNRERA/11/BLG/0258/2026                                 dated 31-07-2026","M/S SREE DAKSHA PROPERTY DEVELOPERS (INDIA)PVT.LTD, MARUTHAMALAI MAIN ROAD, VADAVALLI Village , Taluk.PERUR, Coimbatore, Tamil Nadu-641046.","Project Name: SREE DAKSHA'S TALINAStilt Floor +18113.90 Floors with 90, 0 Survey No. 267/1B1B  AND 267/1B1A2,dwelling units at comprised in VERAKERALAM VILLAGE Village, PERUR Taluk, Coimbatore District.","COIMBATORE LOCAL PLANING AUTHORITY COIMBATORE DISTRICT TOWN AND COUNTRY PLANNING OFFICE issued planning permission in Letter No. 371/2026, Dated 12/05/2026. COIMBATORE CORPORATION issued building permission in Letter No. 162/BL/2026/03/039/00816, Dated 27/03/2026.","30.06.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.0268;Longitude-76.9058;","",""
"259","TNRERA/29/BLG/0259/2026                                 dated 31-07-2026","ANANYAKRISHNAA CONSTRUCTIONS PVT LTD, Door No.110, LAKSHMANASAMY SALAI, KK NAGAR, CHENNAI, KK NAGAR Village , CHENNAI, Chennai, Tamil Nadu-600078.                                                                        Y Gangadhar, 6/5, 54th Steet, CHENNAI, Chennai, Tamil Nadu-600078.                                                                        S Venkatesan, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        Mohanambal, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        M Bhuvanadevi, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        M Santha Subramaniam, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        PV Rajalakshmi, Door No.6/5, K54314900@gmil.com, Chennai, Chennai, Tamil Nadu-600078.                                                                        V Boopathy, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        C Athithan, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        Indira Mohan, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        TK Sekar, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        N Kannan, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        Bharath Kumar, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.                                                                        Abraham Thangaraj, Door No.6/5, 54th Street, Chennai, Chennai, Tamil Nadu-600078.","Project Name: SARASWATIRegistration for Stilt floor + 5 floors (18.30m height) Commercial (1st floor (Pt) – Office) cum Residential Building with 18 dwelling units Availing Premium FSI at Block No.S-13 & S-14, Door No.102/1 to 102/12, Ponnambalam Salai, 11th Sector 66th Street and 11th Sector 7th Street, K.K.Nagar, Chennai 600078 comprised in S.No.249/4 (Pt), 249/5 (Pt) & 250/1A and T.S.No.324/3 & 324/5, Block No.49 of Virugambakkam Village, Chennai District.","CMDA issued planning permission in OL-PP/NHRB/0262/2025 vide letter No. CMDA/PP/NHRB/C/0233/2025 dated 11-07-2025. GCC issued building permission in Letter No. CEBA/WDCN10/00318/2025 dated 30/07/2025.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-30.040692;Longitude-80.196684;","",""
"260","TNRERA/35/BLG/0260/2026                                 dated 31-07-2026","M/s.RUBY BUILDERS & PROMOTERS, Door No.247-B, Velachery Main Road, Selaiyur, Tambaram, Chennai, Tamil Nadu-600073.","Project Name: RUBY ONE CRESTRegistration for High Rise Group Development Buildings with 4 Blocks for Residential cum Club House use with Combined/Extended B.Floor for Block No: A, B & C (Meant for parking) over & above in Block – A: Stilt Floor (Meant for parking) + 14 Floors with 126 dwelling units, Block – B: Stilt Floor (Meant for parking) + 14 Floors with 154 dwelling units, Block - C: Stilt Floor (Meant for parking) + 5 Floors with 50 dwelling units and Block – D (Club House use): B.Floor + G.Floor + 2 Floors and Open Swimming Pool with Change/Shower rooms at 2nd Floor. Totally 330 dwelling units at abutting Vengaivasal Main Road, Selaiyur, Tambaram, Chennai. Comprised in S.No.85/1, 85/2A, 85/2B, 86/1A, 86/1B, 87/4, 87/5A, 87/5B, 87/5C and 87/6 of Vengaivasal Village, within the limits of St.Thomas Mount Panchayat Union, Tambaram Taluk, Chengalpattu District.","The CMDA issued planning permission No.OL-PP/HRB/0023/2026 in Letter No.CMDA/PP/HRB/S/0231/2025 dated 26/05/2026. The President, Vengaivasal Village Panchayat issued building permission in Letter No.18/2026 dated 23/06/2026.","19.07.2032","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.912553077676707;Longitude-80.16896897645456;","",""
"261","TNRERA/29/BLG/0261/2026                                 dated 31-07-2026","Mr V S Rajesh & Mr V S Balaji - GPOA to Alwarpet Properties Pvt Ltd, Plot No.1, SIDCO INDUSTRIAL ESTATE,, GUINDY Village , Chennai, Tamil Nadu-600032.                                                                        M/s.Perun Properties LLP, Plot No.1, Olympia Technology Park, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu-600032.","Project Name: Olympia VBC CrownRegistration for High Rise Group Development of Commercial Building consists of Block-1 : Basement Floor (for parking use) + Ground Floor (for Retail Shop)  + 1st Floor (for Retail Shop) + 2nd Floor to 9th Floor (for Office use) with MLCP (10 level within the block 1), Block- 2 : Ground Floor (Meter room & Electrical Transformer room) + 1st Floor (Generator room) abutting G.N.Chetty Road, Thirumalai lane,T.Nagar, Chennai comprised in Old S.No. 4797 part, T.S.No. 8380/4, Block No.109 of T.Nagar Village, Guindy Taluk, Chennai District.","CMDA issued Planning Permission No.OL-PP/HRB/0014/2024 in Letter No.CMDA/PP/HRB/S/0837/2023 dated 31/05/2024.  Greater Chennai Corporation issued Building Permission in Letter No.CEBA/WDCN09/00239/2024 dated 06/06/2024.","31.08.2026","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.045424602187293;Longitude-80.24041181324488;","",""
"262","TNRERA/7/BLG/0262/2026                                 dated 31-07-2026","M/s.METROPOLE HOMES Managing Partner R.UMA MAHESWARI, Door No.20, 1ST Floor, Brindavan Road, Fairlands Village , Salem - 636004, Salem, Tamil Nadu-                                                                       ., Salem, Tamil Nadu-","Project Name: METROPLOE - PUSHPA VIHARRegistration for Residential Building in Stilt Floor + 5 Floors with 9 Dwelling Units comprised in S.F.No.84/5, Ward - D, Block No.31, T.S.No.21 of Alagapuram Village, Salem West Taluk, Salem District.","The Assistant Director, T&CP, Salem District issued planning permission in Letter No.SWP/BPA/624928/2025 dated 15/09/2025. The Commissioner, Salem Corporation issued building permission in Letter No.049/BL/2025/00290 dated 25/09/2025.","24.09.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.676617;Longitude-78.144727;","",""
"263","TNRERA/29/BLG/0263/2026                                 dated 31-07-2026","M/s.Rams Builders,Rep by its Director Thiru.Vikram Chandiramani & N.S.Radhakrishnan, Door No.61, Poes Garden, Chennai, Tamil Nadu-600086.","Project Name: Rams SakuraRegistration for Stilt Floor + 5 Floors Residential building(Height-18.29m) with 10 dwelling units availing Premium FSI at Plot A1, Door No.A1/14, 1st avenue Thiruvalluvar Nagar & 2nd avenue Thiruvalluvar Nagar, Thiruvanmiyur, Chennai comprised in Old S.No. No.219/2A Part, T.S.No.358 & 352/1, 2nd avenue Thiruvalluvar Nagar, Thiruvanmiyur village, within the limits of Greater Chennai Corporation, Chennai District.","CMDA issued planning permission in  P.P.No.OL-PP/NHRB/0191/2026 vide Letter No. CMDA/PP/NHRB/S/0782/2025  Dated 07-05-2026. Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN13/00204/2026  Dated 23/05/2026.","30.06.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.9773179;Longitude-80.2593727;","",""
"264","TNRERA/5/BLG/0264/2026                                 dated 31-07-2026","M/s. S M CONSTRUCTIONS & PROMOTERS Proprietor Mr. V. Senthil Mohan, 29 A, 4th East Main Road, Gandhi Nagar, Katpadi,, Vellore, Vellore, Tamil Nadu-632006.                                                                        V S Deepak Raj, Door No.H1, Block 2, Jamals Grandeur, 123/A, Cauvery Nagar, Velappanchavadi, Ayappakkam, Chennai, Tamil Nadu-600077.                                                                        T N Ragini, Door No.H1, Block 2, Jamals Grandeur, 123/A, Cauvery Nagar, Velappanchavadi, Ayappakkam, Chennai, Tamil Nadu-600077.                                                                        V S Mukund Raj, 10, 7th East cross road, Gandhi nagar Katpadi, Vellore, Vellore, Tamil Nadu-632006.","Project Name: SM RAJ TOWERSRegistration for Proposed Re-Construction of RCC Roof ""Residential Apartment Building In Stilt Floor (parking) + 5 Floors (15 Dwelling Unit) at Plot No.A2/88 in Approved Layout No.89/49 at Old S.F.NO. 153(Pt), T.S.NO.142, BLOCK NO. 6, Gandhi Nagar, 7th East Cross Road, Katpadi local Planning Area, Kazhinzur Village, Katpadi Taluk and Vellore City Municipal Corporation, Vellore District.","The Deputy Director, T&CP, Vellore District approved Planning Permission No.13/2026 in Application No.SWP/BPA/808556/2026 dated 10/04/2026. The Commissioner, Vellore Corporation  issued Building license no.035/BL/2026/00088 in Permission No.035/BPA/2026/00110 dated 04/05/2026.","04.05.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.956000;Longitude-79.139962;","",""
"265","TNRERA/29/BLG/0265/2026                                 dated 03-08-2026","M/s.  Prestige Estates Projects Limited, Door No.471, Anna Salai, Nandanam , Chennai - 600  035, Chennai, Tamil Nadu-","Project Name: Prestige Palm CourtRegistration for Residential building for Residential Group Development with Club House Consisting of 6 Blocks with Combined Double Basement Floor + Combined Stilt floor (Except Block 6) + Combined 1st floor with Podium; Block 1: 2nd floor to 22nd floor with 174 dwelling units; Block 2: 2nd floor to 22nd floor with 128 dwelling units; Block 3: 2nd floor to 22nd floor with 174 dwelling units; Block 4: 2nd floor to 22nd floor with 260 dwelling units; Block 5: 2nd floor to 22nd floor with 174 dwelling units; Block 6(Club House): Ground Floor (Creche, Kids Play area, Super Market, AV room) + 1st Floor (Table Tennis, Indoor Games & Pool table)+ 2nd Floor (Gymnasium, Badminton Court & Health club)+3rd Floor part (Aerobics) + 4th Floor part with Open Swimming Pool with Change rooms, Showers and Toilets) and Solid waste Management (Ground floor) Totally 910 Dwelling units availing Premium FSI with TOD benefit to the earlier approved site abutting G.N.T. Road, comprising in T.S.No. 8/1, Old S.Nos. 1064/1 , 1064/2 & 1064/3 , Block No.50 , Ward-C of  Madhavaram  Village , Madhavaram Taluk , Chennai District.","The  Assistant  Planner , C M D A , Chennai has issued planning permission vide letter No. CMDA/PP/HRB/N/0324/2025   dated 16.06.2026.  The  Executive  Engineer (T.P.) , Greater Chennai Corporation  has issued building permission vide letter No. CEBA/WDCN03/00254/2026   dated   14.07.2026.","30.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.13447087376691;Longitude-80.2347243123258;","",""
